Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
561, 33700, 1052, 4776, 3
562, 35900, 1106, 4780, 3
563, 38400, 1121, 4780, 3
564, 38400, 1068, 4784, 3
565, 37700, 1075, 4776, 3
566, 37100, 1144, 4768, 3
567, 35600, 1113, 4784, 3
568, 34000, 1150, 4780, 3
569, 35700, 1059, 4784, 3
570, 33800, 1144, 4788, 4
571, 35900, 1022, 4776, 3
572, 34500, 1044, 4780, 3
573, 33100, 1096, 4788, 3
574, 38000, 1073, 4784, 3
575, 38400, 998, 4784, 3
576, 37800, 1173, 4784, 4
577, 36200, 1009, 4776, 3
578, 37300, 1018, 4784, 3
579, 34200, 1129, 4784, 3
580, 37400, 1103, 4784, 3
581, 36400, 1111, 4780, 4
582, 34700, 1047, 4776, 4
583, 38500, 1014, 4784, 3
584, 34100, 1070, 4776, 3
585, 37200, 1139, 4784, 3
586, 39200, 1063, 4780, 3
587, 33700, 1149, 4788, 4
588, 38000, 1099, 4788, 3
589, 40700, 1014, 4780, 3
590, 39600, 1062, 4776, 3
591, 39400, 1116, 4784, 3
592, 40000, 1059, 4788, 4
593, 38700, 1045, 4776, 3
594, 35300, 1145, 4788, 3
595, 39100, 1037, 4780, 3
596, 35200, 1147, 4776, 3
597, 40000, 1034, 4776, 3
598, 38400, 1139, 4780, 3
599, 37800, 1121, 4784, 3
600, 35000, 1044, 4780, 3
601, 38600, 1104, 4772, 4
602, 36200, 1018, 4784, 3
603, 35800, 1014, 4780, 3
604, 38800, 1004, 4776, 3
605, 35600, 1036, 4772, 3
606, 39600, 1003, 4788, 3
607, 34500, 1134, 4784, 3
608, 39000, 1049, 4788, 3
609, 38700, 1140, 4780, 3
610, 34900, 1122, 4784, 3
611, 34000, 1050, 4784, 3
612, 34500, 1124, 4772, 3
613, 38800, 1022, 4780, 3
614, 36200, 1052, 4788, 3
615, 34900, 1086, 4780, 3
616, 35900, 1041, 4776, 3
617, 35200, 1090, 4784, 3
618, 37700, 1096, 4788, 3
619, 34300, 1119, 4780, 3
620, 38400, 1177, 4780, 3
621, 33400, 1062, 4784, 3
622, 37400, 1160, 4780, 3
623, 35700, 1009, 4788, 3
624, 36500, 1032, 4780, 3
625, 35900, 1131, 4784, 4
626, 35300, 1157, 4780, 4
627, 37800, 1068, 4784, 3
628, 39000, 1086, 4776, 3
629, 37500, 1098, 4780, 3
630, 34100, 1073, 4784, 3
631, 39200, 1018, 4780, 3
632, 38800, 1024, 4776, 3
633, 38900, 995, 4780, 3
634, 34500, 1093, 4780, 3
635, 35100, 1019, 4776, 3
636, 39300, 1018, 4780, 3
637, 35000, 1068, 4776, 3
638, 36600, 1080, 4776, 3
639, 36500, 1072, 4784, 3
640, 36700, 1165, 4788, 3
641, 34100, 1127, 4784, 3
642, 39300, 1136, 4780, 3
643, 36300, 1152, 4776, 3
644, 35300, 1113, 4784, 3
645, 33800, 1083, 4776, 3
646, 35200, 1126, 4780, 3
647, 34000, 1055, 4784, 3
648, 33800, 1054, 4780, 4
649, 36200, 1131, 4780, 3
650, 34700, 1080, 4784, 3
651, 35400, 1126, 4784, 3
652, 38600, 1050, 4784, 3
653, 37000, 1099, 4780, 3
654, 38200, 1037, 4780, 3
655, 37000, 1085, 4784, 3
656, 37900, 1070, 4784, 3
657, 36800, 995, 4784, 3
658, 34500, 1085, 4784, 3
659, 35400, 1126, 4780, 3
660, 35700, 1140, 4776, 3
661, 38100, 1085, 4776, 3
662, 33600, 1088, 4776, 3
663, 36100, 1031, 4784, 3
664, 34000, 1099, 4788, 3
665, 33800, 1047, 4780, 3
666, 34800, 1088, 4788, 3
667, 34100, 1157, 4780, 3
668, 37800, 1086, 4784, 3
669, 36000, 1013, 4772, 3
670, 35600, 1059, 4784, 3
671, 38900, 1037, 4780, 3
672, 38100, 1013, 4784, 3
673, 35000, 1116, 4776, 3
674, 34700, 1085, 4788, 3
675, 34700, 1090, 4780, 3
676, 36500, 1021, 4780, 3
677, 38800, 1136, 4784, 3
678, 33800, 1101, 4780, 3
679, 39300, 1052, 4788, 3
680, 35100, 1029, 4776, 3
681, 39700, 1065, 4784, 3
682, 36400, 1126, 4784, 3
683, 38600, 1108, 4780, 3
684, 34500, 996, 4784, 3
685, 39700, 1085, 4780, 3
686, 37900, 1039, 4780, 3
687, 34500, 1101, 4780, 3
688, 38100, 1029, 4784, 3
689, 33700, 1041, 4788, 3
690, 35900, 1073, 4776, 3
691, 33900, 1137, 4780, 3
692, 37100, 1032, 4780, 3
693, 35500, 1021, 4788, 3
694, 38100, 1080, 4780, 3
695, 34900, 1132, 4780, 3
696, 40700, 1196, 4776, 3
697, 35400, 1104, 4788, 3
698, 33500, 1026, 4772, 3
699, 35900, 1041, 4780, 3
700, 39000, 1029, 4776, 3
701, 38200, 1055, 4780, 3
702, 36300, 1029, 4780, 3
703, 34400, 1119, 4776, 3
704, 37100, 1096, 4776, 3
705, 36400, 1155, 4780, 4
706, 33900, 1142, 4784, 3
707, 36900, 1055, 4788, 3
708, 37000, 1163, 4788, 3
709, 35200, 1072, 4780, 3
710, 39400, 1022, 4788, 3
711, 40300, 1039, 4784, 3
712, 37500, 1078, 4784, 3
713, 37900, 1059, 4784, 3
714, 35600, 1129, 4780, 3
715, 38500, 1022, 4780, 3
716, 35700, 1114, 4784, 3
717, 33800, 1126, 4776, 4
718, 38500, 1032, 4784, 3
719, 34900, 1145, 4788, 3
720, 34200, 1140, 4780, 3
721, 35600, 1098, 4776, 3
722, 38600, 1003, 4784, 3
723, 37800, 1045, 4780, 3
724, 34100, 1044, 4788, 3
725, 36200, 1124, 4776, 3
726, 38700, 1113, 4788, 3
727, 36700, 1014, 4780, 3
728, 37600, 1088, 4784, 3
729, 39600, 1052, 4776, 3
730, 38900, 1019, 4784, 3
731, 37800, 1126, 4780, 3
732, 33500, 1049, 4784, 3
733, 36600, 1099, 4772, 3
734, 35600, 1018, 4784, 3
735, 36400, 1039, 4780, 3
736, 34100, 1065, 4776, 3
737, 33900, 1054, 4780, 3
738, 38700, 1096, 4784, 3
739, 33200, 1103, 4776, 3
740, 34600, 1049, 4780, 3
741, 36700, 1037, 4780, 3
742, 36200, 1126, 4784, 3
743, 34800, 1129, 4784, 3
744, 35200, 1054, 4784, 3
745, 36900, 1111, 4780, 3
746, 39300, 1047, 4788, 3
747, 35700, 1163, 4784, 3
748, 33300, 1077, 4784, 3
749, 39900, 1021, 4788, 3
750, 38200, 1031, 4776, 3
751, 36800, 998, 4784, 3
752, 38400, 1109, 4784, 3
753, 35000, 1145, 4776, 3
754, 39100, 1027, 4784, 3
755, 38500, 1014, 4784, 3
756, 37000, 1129, 4780, 3
757, 37900, 1085, 4788, 3
758, 40800, 1080, 4788, 4
759, 36300, 1122, 4784, 3
760, 34900, 1132, 4776, 3
761, 33300, 1009, 4788, 3
762, 38600, 1034, 4776, 4
763, 38300, 1155, 4780, 3
764, 36500, 1039, 4776, 3
765, 39400, 1006, 4788, 3
766, 37900, 1113, 4784, 3
767, 36600, 1131, 4788, 3
768, 35500, 1196, 4776, 3
769, 37300, 1090, 4784, 4
770, 34400, 1019, 4788, 3
771, 36200, 1021, 4780, 3
772, 34500, 1140, 4784, 3
773, 37700, 1103, 4776, 3
774, 36900, 1039, 4780, 3
775, 39800, 995, 4776, 3
776, 35200, 1059, 4780, 3
777, 36000, 1073, 4776, 3
778, 35000, 1144, 4788, 3
779, 35300, 1163, 4788, 3
780, 34900, 991, 4788, 3
781, 37000, 1081, 4780, 3
782, 34400, 1132, 4780, 3
783, 40700, 1083, 4780, 3
784, 38500, 1131, 4776, 3
785, 38400, 1004, 4780, 3
786, 36800, 1062, 4776, 3
787, 33600, 1067, 4780, 3
788, 34800, 1078, 4780, 3
789, 37100, 1086, 4784, 3
790, 35200, 1106, 4788, 3
791, 38700, 1014, 4784, 3
792, 38200, 1000, 4776, 3
793, 38400, 1041, 4784, 3
794, 39200, 1078, 4776, 3
795, 40400, 1104, 4784, 3
796, 35800, 1013, 4772, 3
797, 34200, 1031, 4784, 3
798, 34800, 1083, 4780, 3
799, 39700, 1039, 4788, 3
800, 35200, 1116, 4784, 3
801, 37100, 1111, 4788, 3
802, 35900, 1019, 4780, 3
803, 39500, 1078, 4776, 3
804, 37800, 1013, 4784, 3
805, 36100, 1106, 4784, 3
806, 35100, 1127, 4780, 3
807, 38700, 1090, 4780, 3
808, 38700, 1052, 4780, 3
809, 38100, 1147, 4780, 3
810, 35900, 1119, 4780, 3
811, 38500, 1137, 4780, 3
